record_id,order_id,customer_id,customer_name,segment,region,state,city,sales_rep,product_id,product_name,category,channel,priority,order_date,ship_date,delivery_date,invoice_date,payment_date,units,unit_price,discount_pct,revenue,cost,profit,marketing_spend,satisfaction_score,support_tickets,renewal_likelihood,returned,warehouse_id,supplier_id,campaign
R047,ORD-1047,C015,Oak & Pine,SMB,Central,MO,St Louis,Ava Brooks,P006,Edge Device,Hardware,Web,Normal,2025-06-14,2025-06-16,,2025-06-14,2025-07-04,38,149,0.08,5207.24,3697.14,1510.10,390,67,5,60,No,W2,S03,Retention_Sprint
R048,ORD-1048,C016,Pinnacle Auto,Enterprise,South,NC,Charlotte,Noah Smith,P007,Data Audit,Services,Field,High,2025-06-26,2025-06-28,2025-07-03,2025-06-26,2025-07-20,11,899,0.10,8900.10,5162.06,3738.04,810,90,1,88,No,W4,S04,Retention_Sprint
R049,ORD-1049,C001,Apex Labs,Enterprise,East,NY,New York,Mia Chen,P003,Forecast Module,Software,Direct,High,2025-07-08,2025-07-10,2025-07-15,2025-07-08,2025-08-01,28,399,0.07,10393.32,6339.93,4053.39,980,92,0,90,No,W1,S02,Retention_Sprint
R050,ORD-1050,C002,Blue Harbor,SMB,West,CA,San Diego,Liam Patel,P004,Sensor Kit,Hardware,Web,Low,2025-07-20,2025-07-22,2025-07-27,2025-07-20,2025-08-09,65,79,0.15,4364.75,3142.62,1222.13,345,71,4,65,No,W3,S03,Retention_Sprint
R051,ORD-1051,C003,Cedar Works,Mid-Market,Central,IL,Chicago,Ava Brooks,P012,Managed Support,Support,Partner,High,2025-08-01,2025-08-02,2025-08-06,2025-08-01,2025-08-25,9,699,0.08,5788.92,3183.91,2605.01,560,88,1,85,No,W2,S06,Back_To_School
R052,ORD-1052,C004,Delta Foods,Enterprise,South,TX,Austin,Noah Smith,P010,Admin Workshop,Training,Field,Urgent,2025-08-13,2025-08-12,2025-08-18,2025-08-13,2025-09-03,24,129,0.10,2786.40,1616.11,1170.29,265,62,6,54,Yes,W4,S05,Back_To_School
R053,ORD-1053,C005,Evergreen Care,SMB,East,MA,Boston,Mia Chen,P001,Analytics Starter,Software,Web,Normal,2025-08-25,2025-08-27,2025-09-01,2025-08-25,2025-09-15,16,299,0.05,4544.80,2590.54,1954.26,380,85,1,82,No,W1,S01,Back_To_School
R054,ORD-1054,C006,Falcon Retail,Mid-Market,West,WA,Seattle,Liam Patel,P008,Migration Sprint,Services,Partner,High,2025-09-06,2025-09-08,2025-09-13,2025-09-06,2025-09-30,6,1200,0.12,6336.00,3674.88,2661.12,640,87,1,83,No,W3,S04,Back_To_School
R055,ORD-1055,C007,Granite Bank,Enterprise,Central,OH,Columbus,Ava Brooks,P002,Analytics Pro,Software,Direct,High,2025-09-18,2025-09-20,2025-09-24,2025-09-18,2025-10-12,29,499,0.07,13448.03,7665.38,5782.65,1250,94,0,92,No,W2,S01,Back_To_School
R056,ORD-1056,C008,Helio Energy,Mid-Market,South,GA,Atlanta,Noah Smith,P006,Edge Device,Hardware,Field,Normal,2025-09-30,2025-10-02,2025-10-07,2025-09-30,2025-10-22,45,149,0.10,6034.50,4284.50,1750.00,470,78,3,72,No,W4,S03,Back_To_School
R057,ORD-1057,C009,Ion Freight,SMB,East,PA,Philadelphia,Mia Chen,P007,Data Audit,Services,Web,Normal,2025-10-12,2025-10-14,2025-10-19,2025-10-12,2025-11-01,3,899,0.10,2427.30,1407.83,1019.47,210,82,2,78,No,W1,S04,Year_End
R058,ORD-1058,C010,Juniper Media,Mid-Market,West,CA,Los Angeles,Liam Patel,P011,Priority Support,Support,Partner,High,2025-10-24,2025-10-25,2025-10-29,2025-10-24,2025-11-16,14,499,0.05,6636.70,3650.19,2986.51,645,89,1,86,No,W3,S06,Year_End
R059,ORD-1059,C011,Keystone Health,Enterprise,Central,MI,Detroit,Ava Brooks,P003,Forecast Module,Software,Direct,High,2025-11-05,2025-11-07,2025-11-12,2025-11-05,2025-11-29,31,399,0.08,11375.52,6939.07,4436.45,1080,91,1,88,No,W2,S02,Year_End
R060,ORD-1060,C012,Lumen Schools,SMB,South,FL,Orlando,Noah Smith,P009,Team Training,Training,Web,Low,2025-11-17,2025-11-19,2025-11-24,2025-11-17,2025-12-07,18,199,0.12,3152.16,1891.30,1260.86,250,77,3,71,No,W4,S05,Year_End
R061,ORD-1061,C013,Metro Finance,Enterprise,East,NJ,Jersey City,Mia Chen,P008,Migration Sprint,Services,Direct,High,2025-11-29,2025-12-01,2025-12-06,2025-11-29,2025-12-23,10,1200,0.05,11400.00,6612.00,4788.00,1160,93,0,91,No,W1,S04,Year_End
R062,ORD-1062,C014,Northstar Logistics,Mid-Market,West,AZ,Phoenix,Liam Patel,P001,Analytics Starter,Software,Partner,Normal,2025-12-10,2025-12-12,2025-12-17,2025-12-10,2025-12-31,22,299,0.10,5920.20,3374.51,2545.69,515,83,2,78,No,W3,S01,Year_End
R063,ORD-1063,C015,Oak & Pine,SMB,Central,MO,St Louis,Ava Brooks,P005,Gateway Hub,Hardware,Web,Normal,2025-12-18,2025-12-20,2025-12-25,2025-12-18,,58,129,0.14,6435.72,4633.72,1802.00,495,69,5,61,No,W2,S03,Year_End
R064,ORD-1064,C016,Pinnacle Auto,Enterprise,South,NC,Charlotte,Noah Smith,P012,Managed Support,Support,Field,High,2025-12-28,2025-12-29,2026-01-03,2025-12-28,2026-01-21,12,699,0.08,7716.96,4244.33,3472.63,760,90,1,88,No,W4,S06,Year_End
